alexnet_num-9700 top1:0.5694845360824742, top5:0.7961855670103093, time cost: 0.5968012809753418s
alexnet_num-9800 top1:0.5695918367346938, top5:0.7957142857142857, time cost: 0.5942122936248779s
alexnet_num-9900 top1:0.5696969696969697, top5:0.796060606060606, time cost: 0.6090307235717773s
alexnet_num-10000 top1:0.5697, top5:0.7963, time cost: 0.5959146022796631s
alexnet_num-10100 top1:0.5703960396039603, top5:0.7966336633663367, time cost: 0.6114823818206787s
alexnet_num-10200 top1:0.5707843137254902, top5:0.7964705882352942, time cost: 0.5922470092773438s
alexnet_num-10300 top1:0.5705825242718446, top5:0.7963106796116505, time cost: 0.5982167720794678s
alexnet_num-10400 top1:0.5700961538461539, top5:0.7958653846153846, time cost: 0.5989723205566406s
alexnet_num-10500 top1:0.57, top5:0.7959047619047619, time cost: 0.6197342872619629s
alexnet_num-10600 top1:0.57, top5:0.7960377358490566, time cost: 0.6753246784210205s
alexnet_num-10700 top1:0.5699065420560747, top5:0.795981308411215, time cost: 0.6316380500793457s
alexnet_num-10800 top1:0.5699074074074074, top5:0.7958333333333333, time cost: 0.6020112037658691s
alexnet_num-10900 top1:0.5695412844036697, top5:0.7955963302752294, time cost: 0.5941083431243896s
alexnet_num-11000 top1:0.5691818181818182, top5:0.7951818181818182, time cost: 0.6738071441650391s
alexnet_num-11100 top1:0.5693693693693693, top5:0.7951351351351351, time cost: 0.64689040184021s
alexnet_num-11200 top1:0.5701785714285714, top5:0.7953571428571429, time cost: 0.5993528366088867s
alexnet_num-11300 top1:0.5701769911504425, top5:0.7956637168141593, time cost: 0.6807668209075928s
alexnet_num-11400 top1:0.57, top5:0.7959649122807018, time cost: 0.5851864814758301s
alexnet_num-11500 top1:0.5700869565217391, top5:0.7958260869565218, time cost: 0.5909199714660645s
alexnet_num-11600 top1:0.5698275862068966, top5:0.7957758620689656, time cost: 0.5854887962341309s
alexnet_num-11700 top1:0.5694871794871795, top5:0.7954700854700855, time cost: 0.6003010272979736s
alexnet_num-11800 top1:0.5695762711864407, top5:0.7957627118644067, time cost: 0.6081297397613525s
alexnet_num-11900 top1:0.5697478991596638, top5:0.7958823529411765, time cost: 0.5893492698669434s
alexnet_num-12000 top1:0.57, top5:0.79575, time cost: 0.5928714275360107s
