squeezenetv1.0_num-12200 top1:0.5776229508196721, top5:0.7968032786885246, time cost: 0.6545791625976562s
squeezenetv1.0_num-12300 top1:0.5783739837398374, top5:0.7971544715447154, time cost: 0.7005081176757812s
squeezenetv1.0_num-12400 top1:0.5783870967741935, top5:0.797258064516129, time cost: 0.6140704154968262s
squeezenetv1.0_num-12500 top1:0.57872, top5:0.79776, time cost: 0.6126353740692139s
squeezenetv1.0_num-12600 top1:0.5788095238095238, top5:0.7978571428571428, time cost: 0.7287228107452393s
squeezenetv1.0_num-12700 top1:0.5783464566929134, top5:0.7975590551181102, time cost: 0.5764751434326172s
squeezenetv1.0_num-12800 top1:0.578125, top5:0.797578125, time cost: 0.5687553882598877s
squeezenetv1.0_num-12900 top1:0.577984496124031, top5:0.7972093023255814, time cost: 0.6321308612823486s
squeezenetv1.0_num-13000 top1:0.5783846153846154, top5:0.7975384615384615, time cost: 0.598947286605835s
squeezenetv1.0_num-13100 top1:0.5787022900763359, top5:0.7977099236641222, time cost: 0.6027426719665527s
squeezenetv1.0_num-13200 top1:0.5785606060606061, top5:0.7976515151515151, time cost: 0.5698318481445312s
squeezenetv1.0_num-13300 top1:0.5781203007518797, top5:0.7977443609022556, time cost: 0.6247866153717041s
squeezenetv1.0_num-13400 top1:0.5780597014925373, top5:0.7982089552238806, time cost: 0.5862724781036377s
squeezenetv1.0_num-13500 top1:0.5778518518518518, top5:0.7982222222222223, time cost: 0.7318453788757324s
squeezenetv1.0_num-13600 top1:0.5775735294117647, top5:0.7983823529411764, time cost: 0.6587104797363281s
squeezenetv1.0_num-13700 top1:0.5773722627737227, top5:0.7983211678832117, time cost: 0.6390831470489502s
squeezenetv1.0_num-13800 top1:0.5771014492753623, top5:0.7982608695652174, time cost: 0.5987548828125s
squeezenetv1.0_num-13900 top1:0.5772661870503597, top5:0.7980575539568345, time cost: 0.6857421398162842s
squeezenetv1.0_num-14000 top1:0.5777142857142857, top5:0.7983571428571429, time cost: 0.5798931121826172s
squeezenetv1.0_num-14100 top1:0.5778014184397163, top5:0.798581560283688, time cost: 0.6779763698577881s
squeezenetv1.0_num-14200 top1:0.5779577464788732, top5:0.7987323943661971, time cost: 0.5644543170928955s
squeezenetv1.0_num-14300 top1:0.5776223776223777, top5:0.7986013986013986, time cost: 0.6013853549957275s
squeezenetv1.0_num-14400 top1:0.5777083333333334, top5:0.7983333333333333, time cost: 0.6531054973602295s
squeezenetv1.0_num-14500 top1:0.5774482758620689, top5:0.7976551724137931, time cost: 0.5623078346252441s
squeezenetv1.0_num-14600 top1:0.5772602739726027, top5:0.7976027397260274, time cost: 0.5999495983123779s
squeezenetv1.0_num-14700 top1:0.5776190476190476, top5:0.797891156462585, time cost: 0.6107258796691895s
squeezenetv1.0_num-14800 top1:0.577027027027027, top5:0.7977027027027027, time cost: 0.5651121139526367s
squeezenetv1.0_num-14900 top1:0.5768456375838926, top5:0.7975838926174497, time cost: 0.6621077060699463s
squeezenetv1.0_num-15000 top1:0.5769333333333333, top5:0.7972666666666667, time cost: 0.6148371696472168s
squeezenetv1.0_num-15100 top1:0.5770860927152318, top5:0.7973509933774835, time cost: 0.5713374614715576s
squeezenetv1.0_num-15200 top1:0.5769736842105263, top5:0.7972368421052631, time cost: 0.6118528842926025s
squeezenetv1.0_num-15300 top1:0.5772549019607843, top5:0.7972549019607843, time cost: 0.5642507076263428s
squeezenetv1.0_num-15400 top1:0.5773376623376624, top5:0.7974025974025974, time cost: 0.5699143409729004s
squeezenetv1.0_num-15500 top1:0.5771612903225807, top5:0.7971612903225807, time cost: 0.6033093929290771s
squeezenetv1.0_num-15600 top1:0.5769230769230769, top5:0.7971794871794872, time cost: 0.6070578098297119s
squeezenetv1.0_num-15700 top1:0.5771337579617835, top5:0.7970700636942675, time cost: 0.5778498649597168s
squeezenetv1.0_num-15800 top1:0.5770886075949367, top5:0.7972151898734178, time cost: 0.6270160675048828s
squeezenetv1.0_num-15900 top1:0.5769811320754717, top5:0.7972955974842767, time cost: 0.561917781829834s
squeezenetv1.0_num-16000 top1:0.5773125, top5:0.7978125, time cost: 0.5893404483795166s
squeezenetv1.0_num-16100 top1:0.5768944099378882, top5:0.7977018633540373, time cost: 0.590076208114624s
squeezenetv1.0_num-16200 top1:0.576604938271605, top5:0.7980246913580247, time cost: 0.5849893093109131s
squeezenetv1.0_num-16300 top1:0.5763803680981595, top5:0.7978527607361963, time cost: 0.7624833583831787s
squeezenetv1.0_num-16400 top1:0.5759756097560975, top5:0.7979268292682927, time cost: 0.5962796211242676s
squeezenetv1.0_num-16500 top1:0.5753939393939393, top5:0.7974545454545454, time cost: 0.6494076251983643s
squeezenetv1.0_num-16600 top1:0.5754819277108434, top5:0.7976506024096386, time cost: 0.6337556838989258s
squeezenetv1.0_num-16700 top1:0.5759880239520958, top5:0.7979041916167665, time cost: 0.6054062843322754s
squeezenetv1.0_num-16800 top1:0.5754166666666667, top5:0.7976190476190477, time cost: 0.6039383411407471s
squeezenetv1.0_num-16900 top1:0.5751479289940828, top5:0.7976923076923077, time cost: 0.6057279109954834s
squeezenetv1.0_num-17000 top1:0.5754705882352941, top5:0.7980588235294117, time cost: 0.5721113681793213s
squeezenetv1.0_num-17100 top1:0.5753216374269006, top5:0.7980116959064327, time cost: 0.5816469192504883s
squeezenetv1.0_num-17200 top1:0.5751744186046511, top5:0.7976744186046512, time cost: 0.5657327175140381s
squeezenetv1.0_num-17300 top1:0.5755491329479768, top5:0.7980346820809249, time cost: 0.5980074405670166s
squeezenetv1.0_num-17400 top1:0.5755747126436782, top5:0.797816091954023, time cost: 0.6406314373016357s
squeezenetv1.0_num-17500 top1:0.5753142857142857, top5:0.7973142857142858, time cost: 0.6472487449645996s
squeezenetv1.0_num-17600 top1:0.5753409090909091, top5:0.7973863636363636, time cost: 0.6459851264953613s
squeezenetv1.0_num-17700 top1:0.5750282485875706, top5:0.7970621468926554, time cost: 0.6343321800231934s
squeezenetv1.0_num-17800 top1:0.5749438202247191, top5:0.7973595505617977, time cost: 0.6612081527709961s
squeezenetv1.0_num-17900 top1:0.5747486033519553, top5:0.7972067039106145, time cost: 0.8032424449920654s
squeezenetv1.0_num-18000 top1:0.5746666666666667, top5:0.7973333333333333, time cost: 0.578425407409668s
squeezenetv1.0_num-18100 top1:0.5744198895027625, top5:0.7967955801104972, time cost: 0.5797288417816162s
squeezenetv1.0_num-18200 top1:0.5746153846153846, top5:0.7970879120879121, time cost: 0.6588430404663086s
squeezenetv1.0_num-18300 top1:0.5743169398907104, top5:0.7968852459016393, time cost: 0.626253604888916s
squeezenetv1.0_num-18400 top1:0.5739130434782609, top5:0.7964130434782609, time cost: 0.6131973266601562s
squeezenetv1.0_num-18500 top1:0.5737837837837838, top5:0.7962162162162162, time cost: 0.5908105373382568s
squeezenetv1.0_num-18600 top1:0.5732795698924731, top5:0.7961290322580645, time cost: 0.5879795551300049s
squeezenetv1.0_num-18700 top1:0.5733689839572192, top5:0.7960427807486631, time cost: 0.6510062217712402s
squeezenetv1.0_num-18800 top1:0.5735638297872341, top5:0.7962765957446809, time cost: 0.5837929248809814s
squeezenetv1.0_num-18900 top1:0.5732275132275132, top5:0.7959259259259259, time cost: 0.581984281539917s
squeezenetv1.0_num-19000 top1:0.5735789473684211, top5:0.7961052631578948, time cost: 0.6993796825408936s
squeezenetv1.0_num-19100 top1:0.5737696335078534, top5:0.796020942408377, time cost: 0.5935778617858887s
squeezenetv1.0_num-19200 top1:0.5738541666666667, top5:0.79625, time cost: 0.6200804710388184s
squeezenetv1.0_num-19300 top1:0.5742487046632124, top5:0.7964248704663213, time cost: 0.644498348236084s
squeezenetv1.0_num-19400 top1:0.5743298969072165, top5:0.7964432989690722, time cost: 0.5577356815338135s
squeezenetv1.0_num-19500 top1:0.5741025641025641, top5:0.7964615384615384, time cost: 0.6791408061981201s
squeezenetv1.0_num-19600 top1:0.5743367346938776, top5:0.7963265306122449, time cost: 0.5877499580383301s
squeezenetv1.0_num-19700 top1:0.5741624365482233, top5:0.7960913705583756, time cost: 0.617180347442627s
squeezenetv1.0_num-19800 top1:0.5741919191919191, top5:0.7962626262626262, time cost: 0.5689401626586914s
squeezenetv1.0_num-19900 top1:0.5737688442211055, top5:0.7961306532663317, time cost: 0.6032476425170898s
squeezenetv1.0_num-20000 top1:0.5737, top5:0.7961, time cost: 0.6046261787414551s
squeezenetv1.0_num-20100 top1:0.5738805970149253, top5:0.796318407960199, time cost: 0.5625603199005127s
squeezenetv1.0_num-20200 top1:0.5732673267326732, top5:0.7963366336633664, time cost: 0.5937385559082031s
squeezenetv1.0_num-20300 top1:0.5732019704433498, top5:0.7963054187192118, time cost: 0.5740671157836914s
squeezenetv1.0_num-20400 top1:0.5735294117647058, top5:0.796421568627451, time cost: 0.5626723766326904s
squeezenetv1.0_num-20500 top1:0.5734146341463414, top5:0.7963902439024391, time cost: 0.7040586471557617s
squeezenetv1.0_num-20600 top1:0.5735922330097087, top5:0.7963106796116505, time cost: 0.5662624835968018s
squeezenetv1.0_num-20700 top1:0.5738647342995169, top5:0.7965217391304348, time cost: 0.5979676246643066s
squeezenetv1.0_num-20800 top1:0.5739903846153847, top5:0.7967307692307692, time cost: 0.5867493152618408s
squeezenetv1.0_num-20900 top1:0.5739234449760765, top5:0.7966028708133971, time cost: 0.5555286407470703s
squeezenetv1.0_num-21000 top1:0.5743333333333334, top5:0.796952380952381, time cost: 0.5869204998016357s
squeezenetv1.0_num-21100 top1:0.5737914691943128, top5:0.7970142180094787, time cost: 0.5721120834350586s
squeezenetv1.0_num-21200 top1:0.5737735849056603, top5:0.7968867924528302, time cost: 0.5765650272369385s
squeezenetv1.0_num-21300 top1:0.5739906103286385, top5:0.7970892018779343, time cost: 0.6273956298828125s
squeezenetv1.0_num-21400 top1:0.5737383177570093, top5:0.7971028037383178, time cost: 0.5672624111175537s
squeezenetv1.0_num-21500 top1:0.573813953488372, top5:0.7970697674418604, time cost: 0.5658040046691895s
squeezenetv1.0_num-21600 top1:0.5737037037037037, top5:0.7974537037037037, time cost: 0.5595815181732178s
squeezenetv1.0_num-21700 top1:0.5738709677419355, top5:0.7975115207373272, time cost: 0.6144099235534668s
squeezenetv1.0_num-21800 top1:0.5740366972477065, top5:0.7974770642201835, time cost: 0.5802991390228271s
squeezenetv1.0_num-21900 top1:0.5742009132420092, top5:0.7974429223744293, time cost: 0.6149914264678955s
