vgg19_num-26300 top1:0.7109125475285171, top5:0.8989733840304183, time cost: 1.1999051570892334s
vgg19_num-26400 top1:0.7109090909090909, top5:0.899090909090909, time cost: 1.1976041793823242s
vgg19_num-26500 top1:0.7110566037735849, top5:0.8990943396226415, time cost: 1.180171251296997s
vgg19_num-26600 top1:0.7112781954887218, top5:0.8991353383458647, time cost: 1.2162649631500244s
vgg19_num-26700 top1:0.7110486891385768, top5:0.8989513108614232, time cost: 1.2304484844207764s
vgg19_num-26800 top1:0.7110074626865671, top5:0.8988805970149254, time cost: 1.3017995357513428s
vgg19_num-26900 top1:0.711003717472119, top5:0.8987360594795539, time cost: 1.189770221710205s
vgg19_num-27000 top1:0.711037037037037, top5:0.8985925925925926, time cost: 1.224363088607788s
vgg19_num-27100 top1:0.7105904059040591, top5:0.8984870848708487, time cost: 1.2326135635375977s
vgg19_num-27200 top1:0.7106617647058824, top5:0.8985661764705882, time cost: 1.205920934677124s
vgg19_num-27300 top1:0.7106227106227107, top5:0.8984981684981685, time cost: 1.2034802436828613s
vgg19_num-27400 top1:0.7104744525547445, top5:0.8986131386861314, time cost: 1.216231107711792s
vgg19_num-27500 top1:0.7102909090909091, top5:0.8985454545454545, time cost: 1.1888794898986816s
vgg19_num-27600 top1:0.7103985507246376, top5:0.898695652173913, time cost: 1.2234869003295898s
vgg19_num-27700 top1:0.7105776173285199, top5:0.8988808664259927, time cost: 1.2160727977752686s
vgg19_num-27800 top1:0.7104676258992806, top5:0.8988129496402878, time cost: 1.2090213298797607s
vgg19_num-27900 top1:0.7103225806451613, top5:0.8987096774193548, time cost: 1.182765007019043s
vgg19_num-28000 top1:0.7104285714285714, top5:0.8987857142857143, time cost: 1.287297248840332s
vgg19_num-28100 top1:0.7105338078291815, top5:0.8987900355871886, time cost: 1.315870761871338s
vgg19_num-28200 top1:0.7104964539007093, top5:0.8987234042553192, time cost: 1.1880369186401367s
vgg19_num-28300 top1:0.710600706713781, top5:0.8988339222614841, time cost: 1.175823450088501s
vgg19_num-28400 top1:0.7108098591549296, top5:0.8988028169014084, time cost: 1.299177885055542s
vgg19_num-28500 top1:0.7107719298245614, top5:0.8987719298245614, time cost: 1.3924438953399658s
vgg19_num-28600 top1:0.7106993006993007, top5:0.8988111888111888, time cost: 1.2655973434448242s
vgg19_num-28700 top1:0.7109059233449477, top5:0.898815331010453, time cost: 1.2268004417419434s
vgg19_num-28800 top1:0.7111111111111111, top5:0.8988541666666666, time cost: 1.2176718711853027s
vgg19_num-28900 top1:0.711038062283737, top5:0.8988581314878893, time cost: 1.220979928970337s
vgg19_num-29000 top1:0.7107931034482758, top5:0.8988275862068965, time cost: 1.2053897380828857s
vgg19_num-29100 top1:0.7105498281786942, top5:0.8987628865979381, time cost: 1.1803865432739258s
vgg19_num-29200 top1:0.710513698630137, top5:0.8987671232876713, time cost: 1.1999084949493408s
vgg19_num-29300 top1:0.710580204778157, top5:0.8989078498293516, time cost: 1.1904006004333496s
