mobilenetv2_num-9400 top1:0.7222340425531915, top5:0.9029787234042553, time cost: 4.050233602523804s
mobilenetv2_num-9500 top1:0.7223157894736842, top5:0.9029473684210526, time cost: 3.95512056350708s
mobilenetv2_num-9600 top1:0.72125, top5:0.9026041666666667, time cost: 4.120977401733398s
mobilenetv2_num-9700 top1:0.7211340206185567, top5:0.9021649484536083, time cost: 3.9326844215393066s
mobilenetv2_num-9800 top1:0.7210204081632653, top5:0.9021428571428571, time cost: 3.990318775177002s
mobilenetv2_num-9900 top1:0.7212121212121212, top5:0.9024242424242425, time cost: 3.9401695728302s
mobilenetv2_num-10000 top1:0.7216, top5:0.9026, time cost: 3.9321205615997314s
mobilenetv2_num-10100 top1:0.7216831683168317, top5:0.9025742574257426, time cost: 4.008236408233643s
mobilenetv2_num-10200 top1:0.7218627450980392, top5:0.9027450980392157, time cost: 3.9347000122070312s
mobilenetv2_num-10300 top1:0.7216504854368933, top5:0.9027184466019418, time cost: 3.9310109615325928s
mobilenetv2_num-10400 top1:0.7213461538461539, top5:0.9024038461538462, time cost: 3.9450185298919678s
mobilenetv2_num-10500 top1:0.7211428571428572, top5:0.9025714285714286, time cost: 3.9681241512298584s
mobilenetv2_num-10600 top1:0.720754716981132, top5:0.9023584905660378, time cost: 4.016340255737305s
mobilenetv2_num-10700 top1:0.7205607476635514, top5:0.9024299065420561, time cost: 4.095104217529297s
mobilenetv2_num-10800 top1:0.7205555555555555, top5:0.9024074074074074, time cost: 4.050108432769775s
mobilenetv2_num-10900 top1:0.7204587155963302, top5:0.9026605504587156, time cost: 3.942115068435669s
mobilenetv2_num-11000 top1:0.7207272727272728, top5:0.9025454545454545, time cost: 4.041193008422852s
mobilenetv2_num-11100 top1:0.7206306306306306, top5:0.9024324324324324, time cost: 3.981106758117676s
mobilenetv2_num-11200 top1:0.7205357142857143, top5:0.9023214285714286, time cost: 3.960522413253784s
mobilenetv2_num-11300 top1:0.7205309734513274, top5:0.9022123893805309, time cost: 4.0505006313323975s
mobilenetv2_num-11400 top1:0.7209649122807018, top5:0.902280701754386, time cost: 4.024122953414917s
mobilenetv2_num-11500 top1:0.721304347826087, top5:0.9025217391304348, time cost: 3.920071601867676s
mobilenetv2_num-11600 top1:0.7210344827586207, top5:0.9022413793103449, time cost: 3.9891555309295654s
mobilenetv2_num-11700 top1:0.7207692307692307, top5:0.902051282051282, time cost: 3.9382948875427246s
mobilenetv2_num-11800 top1:0.7208474576271187, top5:0.9022881355932203, time cost: 3.971045970916748s
mobilenetv2_num-11900 top1:0.720672268907563, top5:0.9022689075630252, time cost: 3.9395320415496826s
mobilenetv2_num-12000 top1:0.72075, top5:0.90225, time cost: 3.951669216156006s
mobilenetv2_num-12100 top1:0.7211570247933884, top5:0.9027272727272727, time cost: 4.023648500442505s
mobilenetv2_num-12200 top1:0.7213934426229508, top5:0.9027049180327869, time cost: 4.011080265045166s
mobilenetv2_num-12300 top1:0.7212195121951219, top5:0.9027642276422764, time cost: 4.018379211425781s
mobilenetv2_num-12400 top1:0.7215322580645162, top5:0.9027419354838709, time cost: 3.990878105163574s
mobilenetv2_num-12500 top1:0.72256, top5:0.90312, time cost: 3.9801104068756104s
mobilenetv2_num-12600 top1:0.7220634920634921, top5:0.9031746031746032, time cost: 4.219970941543579s
mobilenetv2_num-12700 top1:0.7218110236220473, top5:0.9027559055118111, time cost: 4.017162084579468s
mobilenetv2_num-12800 top1:0.721484375, top5:0.9025, time cost: 3.904146432876587s
mobilenetv2_num-12900 top1:0.7210852713178295, top5:0.9025581395348837, time cost: 4.051486253738403s
mobilenetv2_num-13000 top1:0.7213846153846154, top5:0.9027692307692308, time cost: 4.001471996307373s
mobilenetv2_num-13100 top1:0.721145038167939, top5:0.9027480916030535, time cost: 3.971357583999634s
mobilenetv2_num-13200 top1:0.7207575757575757, top5:0.9028787878787878, time cost: 3.925537586212158s
mobilenetv2_num-13300 top1:0.7206015037593985, top5:0.9025563909774436, time cost: 3.9892265796661377s
mobilenetv2_num-13400 top1:0.720820895522388, top5:0.9025373134328358, time cost: 3.92337965965271s
mobilenetv2_num-13500 top1:0.7205925925925926, top5:0.9025185185185185, time cost: 4.17135214805603s
mobilenetv2_num-13600 top1:0.7205882352941176, top5:0.9025735294117647, time cost: 4.05843710899353s
mobilenetv2_num-13700 top1:0.7205109489051095, top5:0.9024817518248175, time cost: 3.9868741035461426s
mobilenetv2_num-13800 top1:0.7208695652173913, top5:0.902463768115942, time cost: 3.98185396194458s
mobilenetv2_num-13900 top1:0.720431654676259, top5:0.902158273381295, time cost: 4.0653462409973145s
mobilenetv2_num-14000 top1:0.7207857142857143, top5:0.9023571428571429, time cost: 3.924882650375366s
