densenet169_num-12200 top1:0.7644262295081967, top5:0.9330327868852459, time cost: 3.230069875717163s
densenet169_num-12300 top1:0.7643089430894309, top5:0.9332520325203252, time cost: 3.2529966831207275s
densenet169_num-12400 top1:0.7645967741935484, top5:0.9333064516129033, time cost: 3.1818599700927734s
densenet169_num-12500 top1:0.76512, top5:0.93344, time cost: 3.1600875854492188s
densenet169_num-12600 top1:0.7653968253968254, top5:0.9332539682539682, time cost: 3.2776880264282227s
densenet169_num-12700 top1:0.7653543307086614, top5:0.9333070866141733, time cost: 3.1347739696502686s
densenet169_num-12800 top1:0.7653125, top5:0.933125, time cost: 3.1087677478790283s
densenet169_num-12900 top1:0.7654263565891473, top5:0.9331782945736434, time cost: 3.050978899002075s
densenet169_num-13000 top1:0.7660769230769231, top5:0.9333846153846154, time cost: 3.002528190612793s
densenet169_num-13100 top1:0.7658778625954199, top5:0.933206106870229, time cost: 3.1620564460754395s
densenet169_num-13200 top1:0.7656818181818181, top5:0.9331818181818182, time cost: 3.1276485919952393s
densenet169_num-13300 top1:0.7655639097744361, top5:0.9333082706766918, time cost: 3.158053159713745s
densenet169_num-13400 top1:0.7656716417910447, top5:0.9332089552238806, time cost: 3.134458541870117s
densenet169_num-13500 top1:0.7653333333333333, top5:0.9331111111111111, time cost: 3.3128812313079834s
densenet169_num-13600 top1:0.765, top5:0.9330147058823529, time cost: 3.2442009449005127s
densenet169_num-13700 top1:0.7647445255474452, top5:0.9327737226277373, time cost: 3.0812554359436035s
densenet169_num-13800 top1:0.7645652173913043, top5:0.9326811594202898, time cost: 3.0612826347351074s
densenet169_num-13900 top1:0.7646043165467626, top5:0.9323741007194245, time cost: 3.2425949573516846s
densenet169_num-14000 top1:0.7647142857142857, top5:0.9322857142857143, time cost: 3.1520416736602783s
densenet169_num-14100 top1:0.7650354609929078, top5:0.9326241134751773, time cost: 3.250062942504883s
