resnet152_num-15100 top1:0.7693377483443709, top5:0.9314569536423841, time cost: 2.9012081623077393s
resnet152_num-15200 top1:0.7693421052631579, top5:0.9315131578947369, time cost: 2.938849925994873s
resnet152_num-15300 top1:0.7690196078431373, top5:0.9315032679738562, time cost: 2.936789035797119s
resnet152_num-15400 top1:0.7693506493506493, top5:0.9317532467532468, time cost: 2.980726480484009s
resnet152_num-15500 top1:0.7694193548387097, top5:0.9318709677419355, time cost: 2.9105138778686523s
resnet152_num-15600 top1:0.7690384615384616, top5:0.9317948717948717, time cost: 2.9073965549468994s
resnet152_num-15700 top1:0.7692993630573248, top5:0.9317197452229299, time cost: 2.879551410675049s
resnet152_num-15800 top1:0.7687974683544304, top5:0.9317088607594937, time cost: 2.9237520694732666s
resnet152_num-15900 top1:0.7685534591194969, top5:0.9315094339622642, time cost: 2.8693687915802s
resnet152_num-16000 top1:0.7689375, top5:0.931625, time cost: 2.8815059661865234s
resnet152_num-16100 top1:0.7687577639751553, top5:0.9314906832298137, time cost: 2.8678367137908936s
resnet152_num-16200 top1:0.7689506172839506, top5:0.9317901234567901, time cost: 2.864351987838745s
resnet152_num-16300 top1:0.7685889570552147, top5:0.9319018404907975, time cost: 3.032066583633423s
resnet152_num-16400 top1:0.7685365853658537, top5:0.931890243902439, time cost: 2.8890578746795654s
resnet152_num-16500 top1:0.7683030303030303, top5:0.9316363636363636, time cost: 2.928426742553711s
resnet152_num-16600 top1:0.7683734939759036, top5:0.9318072289156627, time cost: 2.9235453605651855s
resnet152_num-16700 top1:0.7682035928143712, top5:0.9318562874251497, time cost: 2.8959076404571533s
resnet152_num-16800 top1:0.7679761904761905, top5:0.9317857142857143, time cost: 2.9008171558380127s
resnet152_num-16900 top1:0.7676331360946745, top5:0.9317159763313609, time cost: 2.979245901107788s
resnet152_num-17000 top1:0.7678235294117647, top5:0.9318823529411765, time cost: 2.8811800479888916s
resnet152_num-17100 top1:0.767953216374269, top5:0.9318713450292397, time cost: 2.8946564197540283s
resnet152_num-17200 top1:0.7682558139534884, top5:0.9318604651162791, time cost: 2.8927528858184814s
resnet152_num-17300 top1:0.7685549132947976, top5:0.9319075144508671, time cost: 2.9099771976470947s
resnet152_num-17400 top1:0.7681034482758621, top5:0.9318390804597702, time cost: 2.943843364715576s
resnet152_num-17500 top1:0.7681142857142857, top5:0.9317142857142857, time cost: 2.922269344329834s
resnet152_num-17600 top1:0.7678409090909091, top5:0.9315909090909091, time cost: 2.9311635494232178s
resnet152_num-17700 top1:0.7677401129943503, top5:0.9315254237288135, time cost: 2.91689395904541s
resnet152_num-17800 top1:0.7676404494382022, top5:0.9314606741573034, time cost: 2.9704771041870117s
resnet152_num-17900 top1:0.7675418994413408, top5:0.9313966480446927, time cost: 3.1118383407592773s
resnet152_num-18000 top1:0.7672777777777777, top5:0.9313333333333333, time cost: 2.874784469604492s
resnet152_num-18100 top1:0.7666298342541437, top5:0.9311602209944752, time cost: 2.8811864852905273s
resnet152_num-18200 top1:0.766978021978022, top5:0.9313736263736264, time cost: 2.9635167121887207s
resnet152_num-18300 top1:0.7671584699453552, top5:0.9313661202185792, time cost: 2.9298808574676514s
resnet152_num-18400 top1:0.7665760869565217, top5:0.9311956521739131, time cost: 2.931493043899536s
resnet152_num-18500 top1:0.7667567567567568, top5:0.9313513513513514, time cost: 2.8924412727355957s
resnet152_num-18600 top1:0.7666129032258064, top5:0.9313978494623656, time cost: 2.903928279876709s
resnet152_num-18700 top1:0.7666844919786097, top5:0.9313903743315508, time cost: 2.948538064956665s
resnet152_num-18800 top1:0.7666489361702128, top5:0.9313297872340426, time cost: 2.8831117153167725s
resnet152_num-18900 top1:0.7664021164021164, top5:0.9313756613756614, time cost: 2.962085247039795s
resnet152_num-19000 top1:0.7663157894736842, top5:0.9314210526315789, time cost: 3.002997875213623s
resnet152_num-19100 top1:0.7666492146596858, top5:0.9315706806282722, time cost: 2.8947560787200928s
resnet152_num-19200 top1:0.7666666666666667, top5:0.9313541666666667, time cost: 2.916428804397583s
resnet152_num-19300 top1:0.7667357512953368, top5:0.9314507772020726, time cost: 2.9359283447265625s
resnet152_num-19400 top1:0.7667525773195877, top5:0.9313917525773195, time cost: 2.8666577339172363s
resnet152_num-19500 top1:0.7670256410256411, top5:0.9313846153846154, time cost: 2.9871675968170166s
resnet152_num-19600 top1:0.7671428571428571, top5:0.9314795918367347, time cost: 2.883979558944702s
resnet152_num-19700 top1:0.7668527918781726, top5:0.931522842639594, time cost: 2.9210922718048096s
resnet152_num-19800 top1:0.7668686868686869, top5:0.9314141414141414, time cost: 2.8798487186431885s
resnet152_num-19900 top1:0.7667336683417085, top5:0.9314572864321609, time cost: 2.9135119915008545s
resnet152_num-20000 top1:0.7667, top5:0.93145, time cost: 2.9122495651245117s
resnet152_num-20100 top1:0.7668656716417911, top5:0.9316417910447761, time cost: 2.8815879821777344s
resnet152_num-20200 top1:0.7664356435643565, top5:0.9315841584158416, time cost: 2.9783198833465576s
resnet152_num-20300 top1:0.7664039408866995, top5:0.9316256157635467, time cost: 2.9068524837493896s
resnet152_num-20400 top1:0.7666666666666667, top5:0.9317647058823529, time cost: 2.8630900382995605s
resnet152_num-20500 top1:0.7668780487804878, top5:0.9317073170731708, time cost: 3.003450632095337s
resnet152_num-20600 top1:0.7669902912621359, top5:0.9318446601941748, time cost: 2.8746938705444336s
resnet152_num-20700 top1:0.7670048309178744, top5:0.9318840579710145, time cost: 2.902757167816162s
resnet152_num-20800 top1:0.7672115384615384, top5:0.9320192307692308, time cost: 2.893474817276001s
resnet152_num-20900 top1:0.7673205741626794, top5:0.9319617224880383, time cost: 2.8590872287750244s
resnet152_num-21000 top1:0.7676666666666667, top5:0.9321428571428572, time cost: 2.8943049907684326s
resnet152_num-21100 top1:0.7675355450236967, top5:0.9322748815165877, time cost: 2.8757550716400146s
resnet152_num-21200 top1:0.7675943396226416, top5:0.9322641509433962, time cost: 2.876485824584961s
resnet152_num-21300 top1:0.767887323943662, top5:0.9323474178403756, time cost: 2.929032325744629s
resnet152_num-21400 top1:0.7677570093457944, top5:0.9323364485981308, time cost: 2.8685216903686523s
resnet152_num-21500 top1:0.7677209302325582, top5:0.932186046511628, time cost: 2.8645102977752686s
resnet152_num-21600 top1:0.767824074074074, top5:0.9322222222222222, time cost: 2.8617093563079834s
resnet152_num-21700 top1:0.767926267281106, top5:0.9323041474654378, time cost: 2.920414686203003s
resnet152_num-21800 top1:0.7679357798165137, top5:0.9322018348623853, time cost: 2.8879499435424805s
resnet152_num-21900 top1:0.7681278538812786, top5:0.9322831050228311, time cost: 2.9121100902557373s
resnet152_num-22000 top1:0.7682727272727272, top5:0.9322272727272727, time cost: 2.8838374614715576s
resnet152_num-22100 top1:0.7679638009049774, top5:0.9321266968325792, time cost: 2.8786604404449463s
resnet152_num-22200 top1:0.768063063063063, top5:0.9322072072072072, time cost: 2.8650619983673096s
resnet152_num-22300 top1:0.7678923766816144, top5:0.932152466367713, time cost: 2.869415760040283s
resnet152_num-22400 top1:0.7677678571428571, top5:0.9323214285714285, time cost: 2.8931407928466797s
resnet152_num-22500 top1:0.7678666666666667, top5:0.9324, time cost: 3.033069372177124s
resnet152_num-22600 top1:0.7678318584070797, top5:0.9323451327433628, time cost: 2.9122326374053955s
resnet152_num-22700 top1:0.7675770925110132, top5:0.9322907488986785, time cost: 2.909921407699585s
resnet152_num-22800 top1:0.7674561403508772, top5:0.9322807017543859, time cost: 2.87727689743042s
resnet152_num-22900 top1:0.7673799126637555, top5:0.9321834061135371, time cost: 2.8777894973754883s
resnet152_num-23000 top1:0.7673913043478261, top5:0.9321739130434783, time cost: 2.8950400352478027s
resnet152_num-23100 top1:0.7674458874458875, top5:0.9321645021645022, time cost: 2.9035205841064453s
resnet152_num-23200 top1:0.767198275862069, top5:0.9322844827586206, time cost: 2.9209632873535156s
resnet152_num-23300 top1:0.766824034334764, top5:0.9321888412017167, time cost: 2.9284586906433105s
resnet152_num-23400 top1:0.7668803418803419, top5:0.9321794871794872, time cost: 2.889749050140381s
resnet152_num-23500 top1:0.7672765957446809, top5:0.9323404255319149, time cost: 2.900576114654541s
resnet152_num-23600 top1:0.7674152542372882, top5:0.9322881355932203, time cost: 2.879239082336426s
resnet152_num-23700 top1:0.7670464135021097, top5:0.9322784810126582, time cost: 2.896181583404541s
resnet152_num-23800 top1:0.7671008403361345, top5:0.9322689075630252, time cost: 2.917954683303833s
resnet152_num-23900 top1:0.7668619246861925, top5:0.9323430962343097, time cost: 2.869654417037964s
resnet152_num-24000 top1:0.7665, top5:0.9322916666666666, time cost: 2.8739805221557617s
resnet152_num-24100 top1:0.7665145228215767, top5:0.9321576763485477, time cost: 2.939979076385498s
resnet152_num-24200 top1:0.7663223140495867, top5:0.9320247933884298, time cost: 2.886345624923706s
resnet152_num-24300 top1:0.7664197530864197, top5:0.9319753086419753, time cost: 2.9141557216644287s
resnet152_num-24400 top1:0.7665163934426229, top5:0.931844262295082, time cost: 2.9968442916870117s
resnet152_num-24500 top1:0.7662857142857142, top5:0.9318367346938775, time cost: 2.879338264465332s
resnet152_num-24600 top1:0.7663008130081301, top5:0.9319918699186992, time cost: 2.8940634727478027s
resnet152_num-24700 top1:0.7662348178137652, top5:0.9319028340080971, time cost: 2.888843297958374s
resnet152_num-24800 top1:0.76625, top5:0.9320161290322581, time cost: 2.8790478706359863s
resnet152_num-24900 top1:0.7663052208835341, top5:0.9320883534136546, time cost: 2.8780016899108887s
resnet152_num-25000 top1:0.76628, top5:0.93204, time cost: 2.8815979957580566s
resnet152_num-25100 top1:0.7663745019920318, top5:0.9320318725099601, time cost: 2.867851734161377s
resnet152_num-25200 top1:0.7662698412698413, top5:0.9321428571428572, time cost: 2.898027181625366s
resnet152_num-25300 top1:0.7662845849802371, top5:0.9321343873517787, time cost: 2.899601697921753s
resnet152_num-25400 top1:0.7665354330708661, top5:0.9322047244094488, time cost: 2.990675210952759s
resnet152_num-25500 top1:0.7665882352941177, top5:0.932235294117647, time cost: 2.9536640644073486s
resnet152_num-25600 top1:0.7667578125, top5:0.9323046875, time cost: 2.9109303951263428s
resnet152_num-25700 top1:0.766964980544747, top5:0.9323735408560311, time cost: 2.9220633506774902s
