Resnet50_num-10900 top1:0.7572477064220183, top5:0.923394495412844, time cost: 1.3025543689727783s
Resnet50_num-11000 top1:0.7571818181818182, top5:0.9229090909090909, time cost: 1.384059190750122s
Resnet50_num-11100 top1:0.7563963963963964, top5:0.9227927927927928, time cost: 1.3588893413543701s
Resnet50_num-11200 top1:0.7564285714285715, top5:0.9227678571428571, time cost: 1.301758050918579s
Resnet50_num-11300 top1:0.7563716814159293, top5:0.9228318584070796, time cost: 1.3759779930114746s
Resnet50_num-11400 top1:0.7564912280701754, top5:0.922719298245614, time cost: 1.2936313152313232s
Resnet50_num-11500 top1:0.7569565217391304, top5:0.9229565217391305, time cost: 1.2999138832092285s
Resnet50_num-11600 top1:0.7562931034482758, top5:0.9225862068965517, time cost: 1.2947556972503662s
Resnet50_num-11700 top1:0.7565811965811966, top5:0.9224786324786325, time cost: 1.303525447845459s
Resnet50_num-11800 top1:0.7565254237288136, top5:0.9224576271186441, time cost: 1.3110885620117188s
Resnet50_num-11900 top1:0.7558823529411764, top5:0.9225210084033614, time cost: 1.2991242408752441s
Resnet50_num-12000 top1:0.7560833333333333, top5:0.9225833333333333, time cost: 1.29435133934021s
Resnet50_num-12100 top1:0.7566115702479339, top5:0.9227272727272727, time cost: 1.3892059326171875s
Resnet50_num-12200 top1:0.7568032786885246, top5:0.9229508196721311, time cost: 1.379866123199463s
Resnet50_num-12300 top1:0.7560162601626016, top5:0.923089430894309, time cost: 1.409083604812622s
Resnet50_num-12400 top1:0.7562903225806452, top5:0.9233870967741935, time cost: 1.3413276672363281s
Resnet50_num-12500 top1:0.75672, top5:0.92368, time cost: 1.3265128135681152s
Resnet50_num-12600 top1:0.7569047619047619, top5:0.9237301587301587, time cost: 1.4329249858856201s
Resnet50_num-12700 top1:0.7567716535433071, top5:0.9237007874015748, time cost: 1.295290470123291s
Resnet50_num-12800 top1:0.7565625, top5:0.923515625, time cost: 1.3009583950042725s
Resnet50_num-12900 top1:0.7558139534883721, top5:0.9233333333333333, time cost: 1.3429348468780518s
Resnet50_num-13000 top1:0.7562307692307693, top5:0.9234615384615384, time cost: 1.3027088642120361s
Resnet50_num-13100 top1:0.7560305343511451, top5:0.9234351145038168, time cost: 1.3290467262268066s
Resnet50_num-13200 top1:0.7557575757575757, top5:0.923409090909091, time cost: 1.28861665725708s
Resnet50_num-13300 top1:0.7554135338345864, top5:0.9233082706766917, time cost: 1.313962459564209s
Resnet50_num-13400 top1:0.7551492537313432, top5:0.9234328358208955, time cost: 1.2943229675292969s
Resnet50_num-13500 top1:0.7546666666666667, top5:0.9232592592592592, time cost: 1.4686694145202637s
Resnet50_num-13600 top1:0.7541911764705882, top5:0.9231617647058824, time cost: 1.3904798030853271s
Resnet50_num-13700 top1:0.7537226277372263, top5:0.9229197080291971, time cost: 1.327406883239746s
Resnet50_num-13800 top1:0.7534782608695653, top5:0.9230434782608695, time cost: 1.3097095489501953s
Resnet50_num-13900 top1:0.7533812949640287, top5:0.9228057553956834, time cost: 1.3964133262634277s
Resnet50_num-14000 top1:0.7535714285714286, top5:0.9228571428571428, time cost: 1.3090012073516846s
Resnet50_num-14100 top1:0.753758865248227, top5:0.923049645390071, time cost: 1.4113545417785645s
Resnet50_num-14200 top1:0.7535211267605634, top5:0.9228169014084507, time cost: 1.327789306640625s
Resnet50_num-14300 top1:0.7530769230769231, top5:0.9223776223776223, time cost: 1.353708028793335s
Resnet50_num-14400 top1:0.7528472222222222, top5:0.9224305555555555, time cost: 1.3793776035308838s
Resnet50_num-14500 top1:0.7524137931034482, top5:0.9222758620689655, time cost: 1.294729232788086s
Resnet50_num-14600 top1:0.7526712328767123, top5:0.9221232876712329, time cost: 1.3321919441223145s
Resnet50_num-14700 top1:0.7524489795918368, top5:0.922108843537415, time cost: 1.347977638244629s
Resnet50_num-14800 top1:0.7527702702702703, top5:0.9222297297297297, time cost: 1.319657325744629s
Resnet50_num-14900 top1:0.7526845637583892, top5:0.9223489932885907, time cost: 1.392399787902832s
Resnet50_num-15000 top1:0.7526, top5:0.9222666666666667, time cost: 1.339383602142334s
Resnet50_num-15100 top1:0.752384105960265, top5:0.922317880794702, time cost: 1.2996127605438232s
Resnet50_num-15200 top1:0.7519736842105263, top5:0.9220394736842106, time cost: 1.3463566303253174s
Resnet50_num-15300 top1:0.7518954248366013, top5:0.9220915032679738, time cost: 1.2963659763336182s
Resnet50_num-15400 top1:0.752012987012987, top5:0.9222077922077923, time cost: 1.3007714748382568s
Resnet50_num-15500 top1:0.7521935483870967, top5:0.9224516129032259, time cost: 1.3351519107818604s
Resnet50_num-15600 top1:0.7516666666666667, top5:0.9223717948717949, time cost: 1.3315720558166504s
Resnet50_num-15700 top1:0.7517834394904459, top5:0.9226114649681528, time cost: 1.3060672283172607s
Resnet50_num-15800 top1:0.7515822784810127, top5:0.9226582278481013, time cost: 1.3503766059875488s
Resnet50_num-15900 top1:0.7512578616352201, top5:0.9222012578616352, time cost: 1.294762372970581s
Resnet50_num-16000 top1:0.7515625, top5:0.922375, time cost: 1.3068675994873047s
Resnet50_num-16100 top1:0.7511180124223602, top5:0.9220496894409937, time cost: 1.2919719219207764s
Resnet50_num-16200 top1:0.7512962962962964, top5:0.922283950617284, time cost: 1.2895801067352295s
Resnet50_num-16300 top1:0.7509815950920246, top5:0.9223312883435583, time cost: 1.4590373039245605s
Resnet50_num-16400 top1:0.7510975609756098, top5:0.9226219512195122, time cost: 1.3146512508392334s
Resnet50_num-16500 top1:0.751030303030303, top5:0.9224242424242424, time cost: 1.3559670448303223s
Resnet50_num-16600 top1:0.7512650602409638, top5:0.9226506024096386, time cost: 1.3497951030731201s
Resnet50_num-16700 top1:0.751317365269461, top5:0.922754491017964, time cost: 1.3232214450836182s
Resnet50_num-16800 top1:0.7510119047619047, top5:0.9226785714285715, time cost: 1.323148250579834s
Resnet50_num-16900 top1:0.7507100591715976, top5:0.9224852071005917, time cost: 1.2915077209472656s
Resnet50_num-17000 top1:0.751, top5:0.9226470588235294, time cost: 1.3075928688049316s
Resnet50_num-17100 top1:0.7508187134502924, top5:0.9226315789473685, time cost: 1.313105583190918s
Resnet50_num-17200 top1:0.7508720930232559, top5:0.9226162790697674, time cost: 1.3159329891204834s
Resnet50_num-17300 top1:0.751271676300578, top5:0.9227745664739885, time cost: 1.334606409072876s
Resnet50_num-17400 top1:0.7510919540229885, top5:0.9225862068965517, time cost: 1.3591558933258057s
Resnet50_num-17500 top1:0.7510857142857142, top5:0.9226285714285715, time cost: 1.3467743396759033s
Resnet50_num-17600 top1:0.7511363636363636, top5:0.9226136363636364, time cost: 1.3535468578338623s
Resnet50_num-17700 top1:0.7512429378531074, top5:0.9226553672316384, time cost: 1.3397002220153809s
