inceptionv3_num-17600 top1:0.7906818181818182, top5:0.9475, time cost: 2.3665966987609863s
inceptionv3_num-17700 top1:0.7906779661016949, top5:0.9474576271186441, time cost: 2.34576416015625s
inceptionv3_num-17800 top1:0.7907303370786517, top5:0.9474719101123595, time cost: 2.406346559524536s
inceptionv3_num-17900 top1:0.7908379888268157, top5:0.9476536312849162, time cost: 2.5438759326934814s
inceptionv3_num-18000 top1:0.7908333333333334, top5:0.9478333333333333, time cost: 2.305128574371338s
inceptionv3_num-18100 top1:0.7908839779005525, top5:0.9478453038674033, time cost: 2.3076796531677246s
inceptionv3_num-18200 top1:0.7911538461538462, top5:0.9479120879120879, time cost: 2.3961703777313232s
inceptionv3_num-18300 top1:0.7914207650273224, top5:0.9479234972677596, time cost: 2.3623530864715576s
inceptionv3_num-18400 top1:0.7910869565217391, top5:0.9480434782608695, time cost: 2.3315696716308594s
inceptionv3_num-18500 top1:0.790972972972973, top5:0.9480540540540541, time cost: 2.3304800987243652s
inceptionv3_num-18600 top1:0.7909677419354839, top5:0.9481182795698925, time cost: 2.3354406356811523s
inceptionv3_num-18700 top1:0.7911764705882353, top5:0.9481818181818182, time cost: 2.3936080932617188s
inceptionv3_num-18800 top1:0.7913297872340426, top5:0.9482446808510638, time cost: 2.3064281940460205s
inceptionv3_num-18900 top1:0.791058201058201, top5:0.9483597883597884, time cost: 2.318067789077759s
inceptionv3_num-19000 top1:0.7912105263157895, top5:0.9484210526315789, time cost: 2.437893867492676s
inceptionv3_num-19100 top1:0.7914659685863874, top5:0.9485340314136126, time cost: 2.3304102420806885s
inceptionv3_num-19200 top1:0.7916145833333333, top5:0.9483854166666666, time cost: 2.3504388332366943s
inceptionv3_num-19300 top1:0.79139896373057, top5:0.9484455958549223, time cost: 2.375945568084717s
inceptionv3_num-19400 top1:0.7913917525773196, top5:0.9482989690721649, time cost: 2.2933497428894043s
inceptionv3_num-19500 top1:0.7915897435897435, top5:0.9482051282051283, time cost: 2.4256961345672607s
inceptionv3_num-19600 top1:0.7917857142857143, top5:0.9481122448979592, time cost: 2.320014715194702s
inceptionv3_num-19700 top1:0.7914720812182741, top5:0.9479187817258883, time cost: 2.3507471084594727s
inceptionv3_num-19800 top1:0.7913636363636364, top5:0.947979797979798, time cost: 2.3134195804595947s
inceptionv3_num-19900 top1:0.791105527638191, top5:0.947889447236181, time cost: 2.356066942214966s
inceptionv3_num-20000 top1:0.7911, top5:0.9478, time cost: 2.3505454063415527s
inceptionv3_num-20100 top1:0.7910945273631841, top5:0.9477611940298507, time cost: 2.3034746646881104s
inceptionv3_num-20200 top1:0.7907425742574258, top5:0.9475742574257425, time cost: 2.340406894683838s
inceptionv3_num-20300 top1:0.7907881773399015, top5:0.9473891625615763, time cost: 2.309030055999756s
inceptionv3_num-20400 top1:0.7909313725490196, top5:0.9475980392156863, time cost: 2.2976136207580566s
inceptionv3_num-20500 top1:0.7909268292682927, top5:0.9476585365853658, time cost: 2.4326159954071045s
inceptionv3_num-20600 top1:0.7911650485436893, top5:0.9478155339805825, time cost: 2.313117504119873s
inceptionv3_num-20700 top1:0.791256038647343, top5:0.9479227053140097, time cost: 2.3381104469299316s
inceptionv3_num-20800 top1:0.79125, top5:0.9479807692307692, time cost: 2.328009843826294s
inceptionv3_num-20900 top1:0.7913397129186602, top5:0.9478947368421052, time cost: 2.296889066696167s
inceptionv3_num-21000 top1:0.7917619047619048, top5:0.948047619047619, time cost: 2.33092999458313s
inceptionv3_num-21100 top1:0.7918957345971565, top5:0.9481516587677725, time cost: 2.314671516418457s
inceptionv3_num-21200 top1:0.7920754716981132, top5:0.9481603773584906, time cost: 2.316551923751831s
inceptionv3_num-21300 top1:0.7923943661971831, top5:0.9483098591549296, time cost: 2.3650970458984375s
inceptionv3_num-21400 top1:0.7922429906542056, top5:0.9484112149532711, time cost: 2.3023526668548584s
inceptionv3_num-21500 top1:0.7924186046511628, top5:0.9486046511627907, time cost: 2.2971572875976562s
inceptionv3_num-21600 top1:0.7924537037037037, top5:0.9486574074074074, time cost: 2.299687623977661s
inceptionv3_num-21700 top1:0.7925345622119816, top5:0.9487557603686636, time cost: 2.364105463027954s
inceptionv3_num-21800 top1:0.7927064220183486, top5:0.9486697247706422, time cost: 2.3214457035064697s
inceptionv3_num-21900 top1:0.7927397260273973, top5:0.9487214611872146, time cost: 2.3496010303497314s
inceptionv3_num-22000 top1:0.7931818181818182, top5:0.9487727272727273, time cost: 2.313598394393921s
inceptionv3_num-22100 top1:0.7931674208144797, top5:0.9486425339366515, time cost: 2.3141801357269287s
inceptionv3_num-22200 top1:0.7932882882882882, top5:0.9486486486486486, time cost: 2.2973294258117676s
inceptionv3_num-22300 top1:0.7931838565022421, top5:0.9486547085201794, time cost: 2.3076157569885254s
inceptionv3_num-22400 top1:0.7933035714285714, top5:0.9488392857142857, time cost: 2.3314170837402344s
inceptionv3_num-22500 top1:0.7932888888888889, top5:0.9488888888888889, time cost: 2.4755074977874756s
inceptionv3_num-22600 top1:0.7930973451327433, top5:0.9489380530973451, time cost: 2.3436198234558105s
inceptionv3_num-22700 top1:0.792863436123348, top5:0.948942731277533, time cost: 2.3475499153137207s
inceptionv3_num-22800 top1:0.7929385964912281, top5:0.9488157894736842, time cost: 2.3129942417144775s
inceptionv3_num-22900 top1:0.7929257641921398, top5:0.9488209606986899, time cost: 2.3141086101531982s
inceptionv3_num-23000 top1:0.7928260869565218, top5:0.9487826086956521, time cost: 2.3217732906341553s
inceptionv3_num-23100 top1:0.7928138528138529, top5:0.9487445887445888, time cost: 2.337885856628418s
inceptionv3_num-23200 top1:0.7926293103448275, top5:0.9487931034482758, time cost: 2.3653876781463623s
inceptionv3_num-23300 top1:0.7925321888412017, top5:0.9488412017167382, time cost: 2.3596041202545166s
inceptionv3_num-23400 top1:0.7926068376068376, top5:0.9488888888888889, time cost: 2.3221843242645264s
inceptionv3_num-23500 top1:0.7928085106382978, top5:0.9488510638297872, time cost: 2.3315682411193848s
inceptionv3_num-23600 top1:0.7928389830508474, top5:0.9488135593220339, time cost: 2.318734884262085s
inceptionv3_num-23700 top1:0.7922784810126582, top5:0.9487763713080168, time cost: 2.332423686981201s
inceptionv3_num-23800 top1:0.7923109243697479, top5:0.9488235294117647, time cost: 2.3541696071624756s
inceptionv3_num-23900 top1:0.792092050209205, top5:0.9488284518828451, time cost: 2.304692268371582s
inceptionv3_num-24000 top1:0.7919166666666667, top5:0.9486666666666667, time cost: 2.3128623962402344s
inceptionv3_num-24100 top1:0.7919917012448133, top5:0.9485477178423236, time cost: 2.3756933212280273s
inceptionv3_num-24200 top1:0.7917355371900826, top5:0.9485537190082645, time cost: 2.324192523956299s
inceptionv3_num-24300 top1:0.7918106995884774, top5:0.948641975308642, time cost: 2.3501837253570557s
inceptionv3_num-24400 top1:0.7919672131147542, top5:0.9486475409836066, time cost: 2.433300018310547s
inceptionv3_num-24500 top1:0.7918775510204081, top5:0.9486530612244898, time cost: 2.3154335021972656s
inceptionv3_num-24600 top1:0.7921951219512195, top5:0.9488211382113821, time cost: 2.3215699195861816s
inceptionv3_num-24700 top1:0.7918623481781376, top5:0.9489878542510122, time cost: 2.324475049972534s
inceptionv3_num-24800 top1:0.7917741935483871, top5:0.9491129032258064, time cost: 2.3192334175109863s
inceptionv3_num-24900 top1:0.791847389558233, top5:0.9491967871485943, time cost: 2.3151230812072754s
inceptionv3_num-25000 top1:0.79192, top5:0.94912, time cost: 2.3222384452819824s
inceptionv3_num-25100 top1:0.7917928286852589, top5:0.9491235059760956, time cost: 2.300071954727173s
inceptionv3_num-25200 top1:0.7918650793650793, top5:0.9492063492063492, time cost: 2.337491035461426s
inceptionv3_num-25300 top1:0.7918577075098814, top5:0.9492490118577075, time cost: 2.330883741378784s
